SongTitle,ArtistName,AlbumName,Rating,Time
Growing Older But Not Up,Jimmy Buffett,Coconut Telegraph,7,207
I Love The Now,Jimmy Buffett,Floridays,3,301
If It All Falls Down,Jimmy Buffett,Floridays,0,285
It's My Job,Jimmy Buffett,Coconut Telegraph,7,192
Tampico Trauma,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,6,274
Landfall,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,1,196
Life Is Just A Tire Swing,Jimmy Buffett,A1A,4,185
Makin' Music For Money,Jimmy Buffett,A1A,4,241
Meet Me In Memphis,Jimmy Buffett,Floridays,9,292
Migration,Jimmy Buffett,A1A,7,255
Miss You So Badly,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,5,223
No Plane On Sunday,Jimmy Buffett,Floridays,3,258
Nobody Speaks To The Captain No More,Jimmy Buffett,Floridays,8,310
Presents To Send You,Jimmy Buffett,A1A,2,163
Stories We Could Tell,Jimmy Buffett,A1A,4,201
The Good Fight,Jimmy Buffett,Coconut Telegraph,0,210
When The Coast Is Clear,Jimmy Buffett,Floridays,3,182
You'll Never Work In Dis Bidness Again,Jimmy Buffett,Floridays,5,190
